municipio,nivel,PRIVADO,PÚBLICO,ratio_pub_priv
SAN FELIPE DE JESÚS,PREESCOLAR,0.0,107.0,107.0
DIVISADEROS,PREESCOLAR,0.0,106.0,106.0
BACADÉHUACHI,PREESCOLAR,0.0,101.0,101.0
HUÁSABAS,PREESCOLAR,0.0,100.0,100.0
SAN JAVIER,PREESCOLAR,0.0,95.0,95.0
CUCURPE,PREESCOLAR,0.0,92.0,92.0
SAN FELIPE DE JESÚS,SECUNDARIA,0.0,82.0,82.0
OQUITOA,SECUNDARIA,0.0,81.0,81.0
ONAVAS,PRIMARIA,0.0,73.0,73.0
ALAMOS,PREESCOLAR,26.0,1891.0,72.73076923076923
ÓNAVAS,SECUNDARIA,0.0,72.0,72.0
ATIL,PREESCOLAR,0.0,72.0,72.0
YÉCORA,INICIAL,0.0,71.0,71.0
ALAMOS,PRIMARIA,85.0,5475.0,64.41176470588235
VILLA PESQUEIRA,SECUNDARIA,0.0,64.0,64.0
ÓNAVAS,PREESCOLAR,0.0,62.0,62.0
PITIQUITO,INICIAL,0.0,57.0,57.0
ÁLAMOS,PRIMARIA,140.0,7748.0,55.34285714285714
ONAVAS,SECUNDARIA,0.0,48.0,48.0
ÁLAMOS,PREESCOLAR,55.0,2447.0,44.49090909090909
GENERAL PLUTARCO ELÍAS CALLES,PRIMARIA,216.0,9220.0,42.68518518518518
OQUITOA,PREESCOLAR,0.0,41.0,41.0
IMURIS,PREESCOLAR,50.0,2040.0,40.8
HUATABAMPO,PRIMARIA,1004.0,35440.0,35.298804780876495
QUIRIEGO,INICIAL,0.0,31.0,31.0
IMURIS,PRIMARIA,288.0,7443.0,25.84375
SANTA ANA,PRIMARIA,352.0,8316.0,23.625
YÉCORA,PREESCOLAR,39.0,838.0,21.487179487179485
GENERAL PLUTARCO ELÍAS CALLES,PREESCOLAR,117.0,2444.0,20.88888888888889
ONAVAS,PREESCOLAR,0.0,19.0,19.0
SANTA ANA,PREESCOLAR,126.0,2360.0,18.73015873015873
