municipio,periodo,grado_promedio_escolaridad,poblacion_asiste_escuela,poblacion_total,porcentaje_alfabetas,total_viviendas_habitadas,viviendas_con_automovil,viviendas_con_internet
Cananea,2020,10.516233196448,10545.0,39451.0,98.9287214675816,11588.0,80.561797752809,74.7796024200519
Carbo,1995,,,4994.0,,1104.0,,
Carbo,2000,6.5,1283.0,4984.0,92.2645040548971,1096.0,,
Carbo,2005,7.2,1272.0,4644.0,,1121.0,,
Carbo,2010,7.34,1309.0,5347.0,94.51,1235.0,,
Carbo,2015,7.7958708,,,94.5443993035403,1315.0,,15.361217
Carbo,2020,8.29834872656031,1146.0,4946.0,95.8774373259053,1401.0,52.045944005743,29.289303661163
Cucurpe,1995,,,913.0,,262.0,,
Cucurpe,2000,5.7,153.0,937.0,93.2824427480916,294.0,,
Cucurpe,2005,6.0,163.0,798.0,,269.0,,
Cucurpe,2010,6.64,193.0,958.0,94.94,308.0,,
Cucurpe,2015,7.2876901,,,95.054945054945,317.0,,8.5443038
Cucurpe,2020,7.72321428571429,164.0,863.0,96.7261904761905,315.0,71.7460317460317,18.4126984126984
Cumpas,1995,,,6639.0,,1660.0,,
Cumpas,2000,7.5,1539.0,6202.0,97.1611721611722,1636.0,,
Cumpas,2005,8.0,1406.0,5776.0,,1624.0,,
Cumpas,2010,8.54,1600.0,6362.0,96.8,1843.0,,
Cumpas,2015,9.0542876,,,97.0594738005748,1838.0,,28.182807
Cumpas,2020,9.53839285714286,1423.0,5829.0,97.7227503869113,1861.0,72.8494623655914,39.3548387096774
Divisaderos,1995,,,807.0,,199.0,,
Divisaderos,2000,6.6,202.0,825.0,96.2003454231433,218.0,,
Divisaderos,2005,7.0,171.0,681.0,,190.0,,
Divisaderos,2010,7.88,208.0,813.0,97.5,230.0,,
Divisaderos,2015,7.98,,,96.9202898550724,242.0,,6.1983471
Divisaderos,2020,8.52280701754386,180.0,753.0,97.3821989528796,242.0,69.8347107438017,54.5454545454545
Empalme,1995,,,48607.0,,11256.0,,
Empalme,2000,7.5,13145.0,49987.0,94.8100120627262,11917.0,,
Empalme,2005,8.3,14100.0,50663.0,,13057.0,,
Empalme,2010,8.92,14701.0,54131.0,96.14,14366.0,,
Empalme,2015,9.3447918,,,97.1502908617854,15682.0,,31.408496
Empalme,2020,9.59373124200746,11982.0,51431.0,97.47483941435,14798.0,54.4703891708968,50.2335025380711
Etchojoa,1995,,,79798.0,,16051.0,,
Etchojoa,2000,6.8,16184.0,56129.0,90.3730477706147,11834.0,,
Etchojoa,2005,7.6,16890.0,55697.0,,12666.0,,
Etchojoa,2010,8.35,17553.0,60717.0,92.77,14247.0,,
Etchojoa,2015,8.6915445,,,94.019743640481,15858.0,,16.092824
Etchojoa,2020,9.40697343972019,15504.0,61309.0,96.3177871820601,15532.0,34.7033434258842,22.7984281388907
Fronteras,1995,,,6671.0,,1571.0,,
Fronteras,2000,7.5,2018.0,7801.0,96.3880288957688,1923.0,,
Fronteras,2005,7.8,1938.0,7470.0,,1988.0,,
Fronteras,2010,8.58,2456.0,8639.0,96.97,2263.0,,
Fronteras,2015,9.2119433,,,97.1408887357905,2444.0,,38.540385
Fronteras,2020,9.58780795957044,2448.0,9041.0,98.0160604629192,2697.0,75.8441558441558,48.5714285714286
General Plutarco Elias Calles,1995,,,10322.0,,2414.0,,
General Plutarco Elias Calles,2000,7.1,2890.0,11278.0,94.5088724325835,2700.0,,
General Plutarco Elias Calles,2005,7.6,3232.0,12416.0,,3050.0,,
General Plutarco Elias Calles,2010,8.0,4079.0,15652.0,95.47,4035.0,,
General Plutarco Elias Calles,2015,,,,0.0,4536.0,,
General Plutarco Elias Calles,2020,8.92700497934103,3712.0,13627.0,96.6923808517383,4091.0,75.3080335140463,48.1025135534746
Granados,1995,,,1259.0,,289.0,,
Granados,2000,7.7,402.0,1235.0,96.1832061068702,293.0,,
Granados,2005,7.6,198.0,938.0,,271.0,,
Granados,2010,8.24,268.0,1150.0,97.35,329.0,,
Granados,2015,8.6906005,,,97.265625,329.0,,11.550152
Granados,2020,8.97208121827411,207.0,1009.0,97.8426395939086,342.0,62.8654970760234,15.2046783625731
Guaymas,1995,,,134625.0,,30412.0,,
Guaymas,2000,8.0,35081.0,130329.0,95.0315017146503,31010.0,,
Guaymas,2005,8.7,37472.0,134153.0,,34236.0,,
Guaymas,2010,9.19,40440.0,149299.0,95.79,40579.0,,
Guaymas,2015,9.6644677,,,96.8286123131562,45642.0,,42.818583
Guaymas,2020,10.1140274949084,37585.0,156863.0,97.4924282161046,47102.0,55.2627661158255,59.7885960994492
Hermosillo,1995,,,559154.0,,129016.0,,
Hermosillo,2000,9.1,181910.0,609829.0,96.8984742356545,147140.0,,
